Champion,Winrate
Aphelios,0.3389000000000001
Ashe,0.4112499999999998
Caitlyn,0.4378250000000001
Corki bot,0.5029749999999998
Ezreal,0.3564249999999999
Jhin,0.345
Jinx,0.4970250000000001
Kai'Sa,0.33215
Kog'Maw,0.4430749999999999
Xayah,0.3535499999999999
